lcid	locale	int_curr_symbol	currency_symbol	mon_decimal_point	mon_thousands_sep	mon_grouping	positive_sign	negative_sign	int_frac_digits	frac_digits	p_cs_precedes	p_sep_by_space	n_cs_precedes	n_sep_by_space	p_sign_posn	n_sign_posn	decimal_point	thousands_sep	grouping
0x0060	ks	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	3	3	.	,	[3, 2, 0]
0x0061	ne	NPR	रु	.	,	[3, 0]		-	2	2	1	1	1	1	3	3	.	,	[3, 0]
0x0062	fy	EUR	€	,	.	[3, 0]		-	2	2	1	1	1	1	2	2	,	.	[3, 0]
0x0063	ps	AFN	؋	,	.	[3, 0]		-	0	0	0	1	0	1	1	1	,	.	[3, 0]
0x0064	fil	PHP	?	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0065	dv	MVR	ރ.	.	,	[3, 0]		-	2	2	0	1	0	1	4	4	.	,	[3, 0]
0x0067	ff	XOF	CFA	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0068	ha	NGN	?	.	,	[3, 0]		-	2	2	1	1	1	1	3	3	.	,	[3, 0]
0x006A	yo	NGN	?	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x006B	quz	BOB	Bs.	,	.	[3, 0]		-	2	2	1	1	1	1	3	0	,	.	[3, 0]
0x006C	nso	ZAR	R	.	 	[3, 0]		-	2	2	1	1	1	1	3	3	.	 	[3, 0]
0x006D	ba	RUB	?	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x006E	lb	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x006F	kl	DKK	kr.	,	.	[3, 0]		-	2	2	1	0	1	1	4	4	,	.	[3, 0]
0x0070	ig	NGN	?	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0072	om	ETB	Br	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0073	ti	ERN	Nfk	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0074	gn	PYG	?	,	.	[3, 0]		-	0	0	0	1	0	1	1	1	,	.	[3, 0]
0x0075	haw	USD	$	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0078	ii	CNY	¥	.	,	[3, 0]		-	2	2	1	0	1	0	4	4	.	,	[3, 0]
0x007A	arn	CLP	$	,	.	[3, 0]		-	2	2	1	1	1	1	3	3	,	.	[3, 0]
0x007C	moh	CAD	$	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x007E	br	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0080	ug	CNY	¥	.	,	[3, 0]		-	2	2	1	0	1	0	4	4	.	,	[3, 0]
0x0081	mi	NZD	$	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0082	oc	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0083	co	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0084	gsw	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0085	sah	RUB	?	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0086	qut	GTQ	Q	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0087	rw	RWF	RF	,	.	[3, 0]		-	0	0	1	1	1	1	3	3	,	.	[3, 0]
0x0088	wo	XOF	CFA	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x008C	prs	AFN	?	.	,	[3, 0]		-	2	2	1	0	1	0	2	2	,	.	[3, 0]
0x0091	gd	GBP	£	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0092	ku	IQD	د.ع.‏	.	,	[3, 0]		-	2	2	1	0	1	0	4	4	.	,	[3, 0]
0x0401	ar-SA	SAR	ر.س.‏	.	,	[3, 0]		-	2	2	0	1	0	1	1	1	.	,	[3, 0]
0x0402	bg-BG	BGN	лв.	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0403	ca-ES	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0404	zh-TW	TWD	NT$	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0405	cs-CZ	CZK	Kč	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0406	da-DK	DKK	kr.	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0407	de-DE	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0408	el-GR	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0409	en-US	USD	$	.	,	[3, 0]		-	2	2	1	0	1	0	3	0	.	,	[3, 0]
0x040A	es-ES_tradnl	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x040B	fi-FI	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x040C	fr-FR	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x040D	he-IL	ILS	₪	.	,	[3, 0]		-	2	2	1	1	1	0	4	4	.	,	[3, 0]
0x040E	hu-HU	HUF	Ft	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x040F	is-IS	ISK	kr	,	.	[3, 0]		-	0	0	0	1	0	1	1	1	,	.	[3, 0]
0x0410	it-IT	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0411	ja-JP	JPY	\	.	,	[3, 0]		-	0	0	1	0	1	0	3	3	.	,	[3, 0]
0x0412	ko-KR	KRW	\	.	,	[3, 0]		-	0	0	1	0	1	0	3	3	.	,	[3, 0]
0x0413	nl-NL	EUR	€	,	.	[3, 0]		-	2	2	1	1	1	1	4	4	,	.	[3, 0]
0x0414	nb-NO	NOK	kr	,	 	[3, 0]		-	2	2	1	1	1	1	3	3	,	 	[3, 0]
0x0415	pl-PL	PLN	zł	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0416	pt-BR	BRL	R$	,	.	[3, 0]		-	2	2	1	1	1	1	3	3	,	.	[3, 0]
0x0417	rm-CH	CHF	CHF	.	’	[3, 0]		-	2	2	0	1	0	1	1	1	.	’	[3, 0]
0x0418	ro-RO	RON	lei	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0419	ru-RU	RUB	?	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x041A	hr-HR	HRK	kn	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x041B	sk-SK	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x041C	sq-AL	ALL	Lekë	,	 	[3, 0]		-	0	0	0	1	0	1	1	1	,	 	[3, 0]
0x041D	sv-SE	SEK	kr	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x041E	th-TH	THB	฿	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x041F	tr-TR	TRY	?	,	.	[3, 0]		-	2	2	1	0	1	0	3	3	,	.	[3, 0]
0x0420	ur-PK	PKR	Rs	.	,	[3, 0]		-	2	2	1	1	1	1	3	3	.	,	[3, 0]
0x0421	id-ID	IDR	Rp	,	.	[3, 0]		-	0	0	1	0	1	0	3	3	,	.	[3, 0]
0x0422	uk-UA	UAH	?	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0423	be-BY	BYN	Br	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0424	sl-SI	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
